,fixed acidity,volatile acidity,citric acid,chlorides,total sulfur dioxide,density,sulphates,alcohol,quality,alcohol_higher,va_high
663,10.1,0.28,0.46,0.05,13.0,0.9974,0.79,10.2,6,0,0
56,10.2,0.42,0.57,0.07,10.0,0.9971,0.63,9.6,5,0,0
1282,7.9,0.765,0.0,0.084,22.0,0.99619,0.68,10.9,6,0,1
673,8.2,0.73,0.21,0.074,13.0,0.9968,0.52,9.5,5,0,1
840,11.1,0.42,0.47,0.085,34.0,0.99736,0.77,12.1,7,1,0
337,7.8,0.43,0.32,0.08,58.0,0.9974,0.64,10.3,5,0,0
249,7.3,0.66,0.0,0.084,23.0,0.9983,0.96,9.9,6,0,1
1068,11.1,0.31,0.53,0.06,10.0,0.99572,0.83,10.9,7,0,0
33,6.9,0.605,0.12,0.073,83.0,0.9993,0.52,9.4,6,0,1
37,8.1,0.38,0.28,0.066,30.0,0.9968,0.73,9.7,7,0,0
1345,8.2,0.44,0.24,0.063,28.0,0.99613,0.53,10.2,6,0,0
800,7.2,0.61,0.08,0.082,108.0,0.99641,0.51,9.4,5,0,1
1429,7.9,0.18,0.4,0.049,67.0,0.996,0.93,11.3,5,0,0
165,7.8,0.63,0.48,0.1,96.0,0.9961,0.62,9.5,5,0,1
1071,7.5,0.77,0.2,0.098,92.0,0.99892,0.58,9.2,5,0,1
1022,7.0,0.51,0.09,0.062,9.0,0.99584,0.54,10.5,5,0,0
97,7.0,0.5,0.25,0.07,22.0,0.9963,0.63,9.2,5,0,0
280,11.4,0.26,0.44,0.071,19.0,0.9986,0.82,9.3,6,0,0
1078,8.6,0.37,0.65,0.08,8.0,0.99817,0.58,11.0,5,0,0
574,10.6,0.34,0.49,0.078,78.0,0.9992,0.7,10.0,6,0,0
1354,7.2,0.58,0.03,0.077,28.0,0.99568,0.52,10.0,5,0,0
1220,10.9,0.32,0.52,0.132,44.0,0.99734,0.77,11.5,6,0,0
397,11.5,0.59,0.59,0.087,49.0,0.9988,0.65,11.0,6,0,0
749,7.3,0.51,0.18,0.07,28.0,0.99768,0.73,9.5,6,0,0
1337,6.0,0.5,0.0,0.057,26.0,0.99448,0.45,9.5,5,0,0
1541,7.4,0.25,0.29,0.054,49.0,0.99666,0.76,10.9,7,0,0
1529,7.1,0.69,0.08,0.063,52.0,0.99608,0.6,10.2,6,0,1
721,8.9,0.48,0.24,0.094,106.0,0.9982,0.53,9.2,5,0,0
984,12.2,0.45,0.49,0.075,6.0,0.9969,0.63,10.4,5,0,0
630,8.7,0.54,0.26,0.097,31.0,0.9976,0.6,9.3,6,0,0
564,13.0,0.47,0.49,0.085,47.0,1.0021,0.68,12.7,6,1,0
234,8.2,1.0,0.09,0.065,37.0,0.99685,0.55,9.0,6,0,1
1088,11.6,0.41,0.54,0.095,41.0,0.99735,0.76,9.9,7,0,0
324,10.0,0.49,0.2,0.071,50.0,1.0015,0.69,9.2,6,0,0
49,5.6,0.31,0.37,0.074,96.0,0.9954,0.58,9.2,5,0,0
276,6.9,0.54,0.04,0.077,27.0,0.9987,0.91,9.4,6,0,0
1313,7.0,0.36,0.21,0.086,65.0,0.99558,0.54,10.1,6,0,0
744,11.1,0.39,0.54,0.095,101.0,1.0001,0.51,9.5,5,0,0
786,9.9,0.35,0.41,0.083,61.0,0.9982,0.5,9.5,5,0,0
1367,6.9,0.54,0.3,0.088,105.0,0.99725,1.18,10.5,6,0,0
1507,7.5,0.38,0.57,0.106,12.0,0.99605,0.55,11.4,6,0,0
1257,7.0,0.58,0.28,0.085,69.0,0.99633,0.7,11.0,6,0,0
633,10.1,0.935,0.22,0.105,86.0,1.001,0.64,11.3,4,0,1
768,7.1,0.59,0.02,0.082,94.0,0.99744,0.53,9.7,6,0,0
835,7.6,0.665,0.1,0.066,55.0,0.99655,0.51,9.3,5,0,1
1403,7.2,0.33,0.33,0.061,13.0,0.996,1.1,10.0,8,0,0
199,6.9,1.09,0.06,0.061,31.0,0.9948,0.43,11.4,4,0,1
1044,6.4,0.39,0.33,0.046,53.0,0.99294,0.62,12.2,6,1,0
685,8.1,0.78,0.23,0.059,15.0,0.997,0.56,11.3,5,0,1
690,7.4,1.185,0.0,0.097,14.0,0.9966,0.54,10.7,3,0,1
733,7.0,0.45,0.34,0.082,72.0,0.998,0.6,9.5,5,0,0
344,11.9,0.57,0.5,0.082,32.0,1.0006,0.78,10.7,6,0,0
1347,7.2,0.655,0.03,0.078,12.0,0.99587,0.39,9.5,5,0,1
1565,6.7,0.67,0.02,0.061,42.0,0.99489,0.82,10.9,6,0,1
614,9.2,0.755,0.18,0.148,103.0,0.9969,1.36,10.2,6,0,1
306,7.6,0.62,0.32,0.082,54.0,0.9966,0.52,9.4,5,0,1
1495,7.0,0.43,0.02,0.08,28.0,0.99492,0.81,10.6,6,0,0
1420,7.8,0.53,0.01,0.077,19.0,0.995,0.46,9.8,5,0,0
1404,8.0,0.5,0.39,0.082,46.0,0.9985,0.62,10.7,6,0,0
662,7.2,0.57,0.06,0.076,27.0,0.9972,0.7,9.6,6,0,0
680,13.3,0.43,0.58,0.07,40.0,1.0004,0.49,9.0,5,0,0
666,8.3,0.49,0.36,0.222,16.0,0.998,0.6,9.5,6,0,0
188,7.9,0.5,0.33,0.084,143.0,0.9968,0.55,9.5,5,0,0
509,13.3,0.29,0.75,0.084,43.0,0.9986,0.68,11.4,7,0,0
982,7.3,0.52,0.32,0.07,70.0,0.99418,0.82,12.9,6,1,0
1123,10.7,0.4,0.37,0.081,29.0,0.99674,0.65,11.2,6,0,0
671,8.2,0.73,0.21,0.074,13.0,0.9968,0.52,9.5,5,0,1
316,9.6,0.56,0.23,0.102,92.0,0.9996,0.65,10.1,5,0,0
434,10.4,0.41,0.55,0.076,54.0,0.9996,0.89,9.9,6,0,0
1432,5.9,0.44,0.0,0.042,11.0,0.9944,0.85,11.7,6,1,0
1200,7.7,0.57,0.21,0.069,9.0,0.99458,0.54,9.8,6,0,0
643,9.5,0.59,0.44,0.071,68.0,0.9992,0.63,9.5,5,0,0
1315,7.5,0.63,0.27,0.083,91.0,0.99616,0.58,9.8,6,0,1
1435,10.2,0.54,0.37,0.214,95.0,1.00369,0.77,9.0,6,0,0
381,13.7,0.415,0.68,0.085,43.0,1.0014,0.8,10.0,6,0,0
650,10.7,0.43,0.39,0.106,32.0,0.9986,0.5,9.6,5,0,0
326,11.6,0.53,0.66,0.121,14.0,0.9978,0.74,11.5,7,0,0
1407,6.0,0.51,0.0,0.064,54.0,0.995,0.93,10.7,6,0,0
149,8.2,0.4,0.44,0.089,43.0,0.9975,0.61,10.5,6,0,0
391,13.7,0.415,0.68,0.085,43.0,1.0014,0.8,10.0,6,0,0
824,7.1,0.48,0.28,0.068,16.0,0.99682,0.53,10.3,5,0,0
613,8.2,0.39,0.38,0.058,29.0,0.9962,0.74,9.8,5,0,0
413,9.9,0.4,0.53,0.097,19.0,0.9986,0.82,11.7,7,1,0
317,9.6,0.77,0.12,0.082,74.0,0.99865,0.64,10.4,6,0,1
885,8.9,0.75,0.14,0.086,30.0,0.99824,0.64,10.5,5,0,1
661,7.5,0.42,0.31,0.08,42.0,0.9978,0.64,9.0,5,0,0
802,5.1,0.585,0.0,0.044,86.0,0.99264,0.94,12.9,7,1,0
20,8.9,0.22,0.48,0.077,60.0,0.9968,0.53,9.4,6,0,0
790,7.4,0.37,0.43,0.082,82.0,0.99708,0.68,9.7,6,0,0
882,8.4,0.31,0.29,0.194,26.0,0.99536,0.78,12.0,6,1,0
1398,7.0,0.6,0.12,0.083,28.0,0.9966,0.62,10.2,7,0,1
1070,9.3,0.33,0.45,0.057,37.0,0.99498,0.89,11.1,7,0,0
1531,6.1,0.705,0.1,0.081,28.0,0.99631,0.66,10.2,5,0,1
1310,7.5,0.61,0.26,0.073,88.0,0.99612,0.53,9.8,5,0,1
546,7.5,0.55,0.24,0.078,28.0,0.9983,0.78,9.5,6,0,0
1388,6.6,0.64,0.31,0.083,49.0,0.99718,0.68,10.3,5,0,1
958,6.4,0.57,0.12,0.12,36.0,0.99519,0.71,11.3,7,0,0
1469,7.3,0.98,0.05,0.061,49.0,0.99705,0.55,9.7,3,0,1
1029,7.7,0.58,0.01,0.088,18.0,0.99568,0.56,10.5,7,0,0
980,9.1,0.5,0.3,0.065,17.0,0.99774,0.71,10.5,6,0,0
375,11.5,0.54,0.71,0.124,15.0,0.9984,0.83,11.8,7,1,0
581,12.3,0.5,0.49,0.089,14.0,1.0002,0.44,9.6,5,0,0
637,9.5,0.885,0.27,0.084,145.0,0.9978,0.53,9.4,5,0,1
635,8.7,0.84,0.0,0.065,33.0,0.9954,0.55,9.7,5,0,1
631,10.4,0.28,0.54,0.105,19.0,0.9988,0.63,9.5,5,0,0
1392,7.1,0.62,0.06,0.07,12.0,0.9942,0.48,9.8,5,0,1
1213,9.6,0.38,0.42,0.071,13.0,0.99659,0.75,10.5,6,0,0
187,7.7,0.705,0.1,0.084,26.0,0.9976,0.49,9.7,5,0,1
735,7.7,0.965,0.1,0.112,22.0,0.9963,0.5,9.5,5,0,1
793,7.7,0.6,0.0,0.055,13.0,0.99639,0.56,10.8,5,0,1
615,9.6,0.6,0.5,0.079,71.0,0.9997,0.57,9.7,5,0,1
30,6.7,0.675,0.07,0.089,82.0,0.9958,0.54,10.1,5,0,1
91,8.6,0.49,0.28,0.11,136.0,0.9972,1.95,9.9,6,0,0
1569,6.2,0.51,0.14,0.056,34.0,0.99396,0.57,11.5,6,0,0
431,7.8,0.55,0.35,0.074,66.0,0.9974,0.56,9.2,5,0,0
776,6.9,0.765,0.18,0.243,48.0,0.99612,0.6,10.3,6,0,1
1098,8.0,0.31,0.45,0.216,16.0,0.99358,0.81,12.5,7,1,0
63,7.0,0.735,0.05,0.081,54.0,0.9966,0.57,9.8,5,0,1
804,8.4,0.52,0.22,0.084,18.0,0.99682,0.57,9.9,6,0,0
1035,10.1,0.37,0.34,0.085,17.0,0.99683,0.65,10.6,7,0,0
1375,7.2,0.56,0.26,0.083,100.0,0.99586,0.52,9.9,5,0,0
538,12.9,0.35,0.49,0.066,35.0,1.0014,0.66,12.0,7,1,0
1077,8.6,0.37,0.65,0.08,8.0,0.99817,0.58,11.0,5,0,0
1065,7.7,0.61,0.18,0.083,20.0,0.9963,0.6,10.2,6,0,1
349,9.1,0.785,0.0,0.093,28.0,0.9994,0.86,9.4,6,0,1
371,7.9,0.24,0.4,0.056,25.0,0.9967,0.87,8.7,6,0,0
619,11.3,0.37,0.41,0.088,16.0,0.9988,0.8,9.3,5,0,0
1287,8.0,0.6,0.08,0.056,7.0,0.99286,0.37,13.0,5,1,1
837,6.7,0.28,0.28,0.012,100.0,0.99064,0.39,11.7,7,1,0
41,8.8,0.61,0.3,0.088,46.0,0.9976,0.51,9.3,4,0,1
93,7.7,0.49,0.26,0.062,31.0,0.9966,0.64,9.6,5,0,0
334,7.9,0.65,0.01,0.078,38.0,0.9963,0.74,11.7,7,1,1
331,10.2,0.36,0.64,0.122,41.0,0.998,0.66,12.5,6,1,0
1484,6.8,0.91,0.06,0.06,11.0,0.99592,0.64,10.9,4,0,1
641,9.5,0.59,0.44,0.071,68.0,0.9992,0.63,9.5,5,0,0
320,9.8,0.66,0.39,0.083,59.0,0.9989,0.71,11.5,7,0,1
854,9.3,0.36,0.39,0.08,55.0,0.99652,0.73,10.9,6,0,0
1493,7.7,0.54,0.26,0.089,147.0,0.99636,0.59,9.7,5,0,0
739,9.0,0.69,0.0,0.088,38.0,0.999,0.6,9.3,5,0,1
712,8.7,0.69,0.0,0.084,33.0,0.9992,0.45,9.4,5,0,1
1027,6.4,0.795,0.0,0.065,52.0,0.99378,0.52,11.6,5,1,1
866,6.8,0.49,0.22,0.071,24.0,0.99438,0.83,11.3,6,0,0
968,9.0,0.4,0.43,0.068,46.0,0.9943,0.6,12.2,6,1,0
1564,7.2,0.695,0.13,0.076,20.0,0.99546,0.54,10.1,5,0,1
233,6.9,0.52,0.25,0.081,37.0,0.99685,0.5,11.0,5,0,0
1505,6.7,0.76,0.02,0.078,12.0,0.996,0.63,9.95,3,0,1
957,9.5,0.37,0.52,0.088,51.0,0.99613,0.58,11.1,6,0,0
1095,9.4,0.4,0.47,0.087,20.0,0.99772,0.5,10.5,5,0,0
960,8.5,0.47,0.27,0.058,38.0,0.99518,0.85,11.1,6,0,0
311,7.9,0.53,0.24,0.072,105.0,0.996,0.54,9.4,6,0,0
1066,6.6,0.52,0.08,0.07,26.0,0.99358,0.72,12.5,7,1,0
814,12.6,0.41,0.54,0.103,41.0,0.99939,0.76,11.3,6,0,0
1067,11.1,0.31,0.53,0.06,10.0,0.99572,0.83,10.9,7,0,0
137,7.2,0.415,0.36,0.081,45.0,0.9972,0.64,9.2,5,0,0
1109,10.8,0.47,0.43,0.171,66.0,0.9982,0.76,10.8,6,0,0
610,8.8,0.24,0.54,0.083,57.0,0.9983,0.54,9.2,5,0,0
378,11.4,0.625,0.66,0.088,24.0,0.9988,0.99,13.3,6,1,1
912,10.0,0.46,0.44,0.065,8.0,0.99674,0.62,12.2,6,1,0
533,10.3,0.27,0.24,0.072,33.0,0.9956,0.66,12.8,6,1,0
1153,9.6,0.42,0.35,0.083,38.0,0.99622,0.66,11.1,6,0,0
681,8.0,0.45,0.23,0.094,29.0,0.9962,0.49,10.2,6,0,0
10,6.7,0.58,0.08,0.097,65.0,0.9959,0.54,9.2,5,0,0
1185,7.0,0.43,0.3,0.085,39.0,0.99346,0.46,11.9,6,1,0
1586,7.5,0.31,0.41,0.065,60.0,0.99492,0.85,11.4,6,0,0
751,8.3,0.65,0.1,0.089,40.0,0.99803,0.55,9.5,5,0,1
1168,6.5,0.34,0.27,0.067,44.0,0.99384,0.56,12.0,6,1,0
1441,7.4,0.785,0.19,0.094,98.0,0.99713,0.52,9.56666666666667,6,0,1
1526,6.8,0.47,0.08,0.064,38.0,0.99553,0.65,9.6,6,0,0
1062,8.0,0.38,0.44,0.098,15.0,0.9956,0.64,11.4,6,0,0
1466,7.3,0.48,0.32,0.062,54.0,0.99728,0.65,10.0,7,0,0
875,8.8,0.31,0.4,0.109,16.0,0.99614,0.79,11.8,7,1,0
1546,7.0,0.57,0.02,0.072,26.0,0.99575,0.61,10.2,5,0,0
1263,8.2,0.78,0.0,0.089,26.0,0.9978,0.46,9.6,4,0,1
1492,6.2,0.65,0.06,0.05,18.0,0.99348,0.54,11.95,5,1,1
893,7.2,0.66,0.03,0.078,86.0,0.99743,0.57,9.7,5,0,1
112,8.4,0.6,0.1,0.085,111.0,0.9964,0.66,9.8,5,0,1
531,11.9,0.38,0.49,0.098,42.0,1.0004,0.61,10.3,5,0,0
1150,8.2,0.33,0.32,0.067,12.0,0.99473,0.76,12.8,7,1,0
1359,11.6,0.475,0.4,0.091,28.0,0.99704,0.65,10.0333333333333,6,0,0
557,15.6,0.645,0.49,0.095,23.0,1.00315,0.74,11.1,5,0,1
355,6.7,0.75,0.01,0.078,32.0,0.9955,0.61,12.8,6,1,1
915,8.6,0.315,0.4,0.079,6.0,0.99512,0.67,11.9,6,1,0
1280,7.1,0.46,0.2,0.077,54.0,0.9956,0.64,10.4,6,0,0
1085,6.8,0.48,0.08,0.074,64.0,0.99529,0.49,9.6,5,0,0
577,8.8,0.44,0.49,0.083,111.0,0.9982,0.6,9.5,5,0,0
1553,7.3,0.735,0.0,0.08,28.0,0.99765,0.6,9.4,5,0,1
481,9.4,0.3,0.56,0.08,17.0,0.9964,0.92,11.7,8,1,0
587,7.3,0.73,0.24,0.108,102.0,0.9967,0.59,9.3,5,0,1
1292,5.9,0.395,0.13,0.056,28.0,0.99362,0.67,12.4,6,1,0
193,7.6,0.55,0.21,0.071,28.0,0.9964,0.55,9.7,5,0,0
623,7.9,0.51,0.25,0.077,45.0,0.9974,0.96,12.1,6,1,0
704,9.1,0.765,0.04,0.078,14.0,0.998,0.54,9.7,4,0,1
290,8.7,0.52,0.09,0.091,49.0,0.9976,0.86,10.6,7,0,0
231,8.0,0.38,0.06,0.078,49.0,0.99625,0.52,9.9,6,0,0
159,6.8,0.6,0.18,0.079,86.0,0.9968,0.57,9.3,6,0,1
838,10.1,0.31,0.35,0.075,28.0,0.99672,0.83,11.2,7,0,0
232,8.5,0.37,0.2,0.09,58.0,0.998,0.7,9.6,6,0,0
1116,7.0,0.69,0.07,0.091,21.0,0.99572,0.6,11.3,6,0,1
385,7.4,0.63,0.07,0.09,37.0,0.9979,0.76,9.7,6,0,1
506,10.4,0.24,0.46,0.075,21.0,0.9976,1.02,10.8,7,0,0
259,10.0,0.31,0.47,0.085,33.0,0.99965,0.8,10.5,7,0,0
841,6.6,0.66,0.0,0.115,31.0,0.99629,0.63,10.3,5,0,1
1235,6.0,0.33,0.32,0.054,113.0,0.99572,0.56,11.5,4,0,0
359,12.6,0.38,0.66,0.088,41.0,1.001,0.68,9.8,6,0,0
1003,6.8,0.36,0.32,0.067,8.0,0.9928,0.55,12.8,7,1,0
1389,6.7,0.48,0.02,0.08,111.0,0.99524,0.53,9.7,5,0,0
1216,7.9,0.57,0.31,0.079,79.0,0.99677,0.69,9.5,6,0,0
226,8.9,0.59,0.5,0.337,81.0,0.9964,1.61,9.5,6,0,0
579,10.6,0.31,0.49,0.063,40.0,0.9976,0.51,9.8,6,0,0
126,8.2,1.33,0.0,0.081,12.0,0.9964,0.49,10.9,5,0,1
707,7.4,0.49,0.19,0.077,37.0,0.9966,0.51,10.5,5,0,0
463,8.1,0.66,0.7,0.098,129.0,0.9972,0.53,9.0,5,0,1
1129,10.5,0.43,0.35,0.092,70.0,0.99798,0.69,10.5,6,0,0
1501,7.8,0.82,0.29,0.083,64.0,0.99642,0.53,9.4,5,0,1
892,10.1,0.45,0.23,0.082,18.0,0.99774,0.65,9.3,6,0,0
905,9.2,0.58,0.2,0.081,115.0,0.998,0.59,9.5,5,0,0
821,4.9,0.42,0.0,0.048,42.0,0.99154,0.74,14.0,7,1,0
771,9.4,0.685,0.26,0.082,143.0,0.9978,0.55,9.4,5,0,1
310,10.3,0.53,0.48,0.063,25.0,0.9998,0.59,9.3,6,0,0
1489,6.2,0.57,0.1,0.048,11.0,0.99448,0.76,10.8,6,0,0
1072,7.2,0.35,0.26,0.083,75.0,0.9968,0.58,9.5,6,0,0
48,6.4,0.4,0.23,0.066,12.0,0.9958,0.56,9.2,5,0,0
348,9.6,0.56,0.31,0.089,46.0,0.9979,0.92,10.0,6,0,0
138,7.8,0.56,0.19,0.081,105.0,0.9962,0.54,9.5,5,0,0
600,8.2,0.915,0.27,0.088,23.0,0.9962,0.47,10.0,4,0,1
1468,7.3,0.48,0.32,0.062,54.0,0.99728,0.65,10.0,7,0,0
492,8.9,0.4,0.51,0.052,27.0,0.995,0.9,13.4,7,1,0
1164,9.0,0.785,0.24,0.078,21.0,0.99692,0.67,10.0,5,0,1
1597,5.9,0.645,0.12,0.075,44.0,0.99547,0.71,10.2,5,0,1
1080,10.3,0.27,0.56,0.047,8.0,0.99471,0.51,11.8,6,1,0
877,7.7,0.715,0.01,0.064,43.0,0.99371,0.57,11.8,6,1,1
536,9.9,0.63,0.24,0.077,33.0,0.9974,0.57,9.4,5,0,1
908,7.4,0.52,0.13,0.078,61.0,0.99528,0.59,10.8,6,0,0
499,8.7,0.69,0.31,0.086,81.0,1.0002,0.74,11.6,6,1,1
731,8.9,0.875,0.13,0.088,14.0,0.9994,0.52,11.5,5,0,1
750,8.3,0.65,0.1,0.089,40.0,0.99803,0.55,9.5,5,0,1
1428,7.8,0.64,0.0,0.072,55.0,0.9962,0.63,11.0,5,0,1
288,8.7,0.52,0.09,0.091,49.0,0.9976,0.86,10.6,7,0,0
172,8.0,0.42,0.17,0.073,18.0,0.9972,0.61,9.2,6,0,0
1217,8.2,0.34,0.37,0.057,74.0,0.99408,0.81,12.0,6,1,0
31,6.9,0.685,0.0,0.105,37.0,0.9966,0.57,10.6,6,0,1
516,12.5,0.6,0.49,0.1,14.0,1.001,0.74,11.9,6,1,1
136,8.3,0.715,0.15,0.089,52.0,0.9968,0.77,9.5,5,0,1
947,8.3,0.28,0.48,0.093,12.0,0.99408,0.62,12.4,7,1,0
1211,6.6,0.44,0.15,0.076,53.0,0.9957,0.62,9.3,5,0,0
424,7.7,0.96,0.2,0.047,60.0,0.9955,0.44,10.9,5,0,1
502,10.4,0.44,0.73,0.074,76.0,0.999,0.85,12.0,7,1,0
1139,8.2,0.51,0.24,0.079,86.0,0.99764,0.64,9.5,6,0,0
1025,8.6,0.83,0.0,0.095,43.0,0.99822,0.6,10.4,6,0,1
1111,5.4,0.42,0.27,0.092,55.0,0.99471,0.64,12.3,7,1,0
1016,8.9,0.38,0.4,0.068,28.0,0.99486,0.75,12.6,7,1,0
640,9.9,0.54,0.45,0.071,40.0,0.9991,0.62,9.4,5,0,0
82,7.4,0.5,0.47,0.086,73.0,0.997,0.57,9.1,5,0,0
1241,9.8,0.37,0.39,0.079,65.0,0.99729,0.59,9.8,5,0,0
1433,6.1,0.4,0.16,0.069,25.0,0.9955,0.74,10.1,7,0,0
792,7.1,0.61,0.02,0.081,87.0,0.99745,0.6,9.7,6,0,1
26,7.6,0.41,0.24,0.08,11.0,0.9962,0.59,9.5,5,0,0
248,7.7,0.53,0.06,0.074,39.0,0.99615,0.48,9.8,6,0,0
258,7.7,0.41,0.76,0.611,45.0,0.9968,1.26,9.4,5,0,0
1169,7.6,0.5,0.29,0.086,14.0,0.99502,0.62,11.5,6,0,0
578,8.8,0.47,0.49,0.085,110.0,0.9982,0.6,9.8,5,0,0
565,12.7,0.6,0.49,0.075,19.0,0.9994,0.57,11.4,5,0,1
1330,7.4,0.6,0.26,0.083,91.0,0.99616,0.56,9.8,6,0,1
1032,8.1,0.82,0.0,0.095,14.0,0.99854,0.53,9.6,5,0,1
88,9.3,0.39,0.44,0.107,125.0,0.9978,1.22,9.5,5,0,0
1583,6.2,0.46,0.29,0.074,98.0,0.99578,0.62,9.8,5,0,0
601,13.2,0.46,0.52,0.071,35.0,1.0006,0.56,9.0,6,0,0
85,6.9,0.55,0.15,0.076,40.0,0.9961,0.59,10.1,5,0,0
285,9.9,0.59,0.07,0.102,71.0,1.00015,0.71,9.8,5,0,0
1014,8.0,0.58,0.16,0.12,7.0,0.99454,0.58,11.2,6,0,0
816,9.8,0.51,0.19,0.081,30.0,0.9984,0.58,10.5,6,0,0
476,9.3,0.27,0.41,0.091,16.0,0.998,0.7,9.7,5,0,0
494,6.5,0.39,0.23,0.051,91.0,0.9952,0.55,12.1,6,1,0
604,8.3,0.58,0.13,0.096,63.0,0.9984,0.62,9.1,6,0,0
411,9.1,0.45,0.35,0.08,78.0,0.9987,0.62,9.5,5,0,0
247,8.2,0.6,0.17,0.072,73.0,0.9963,0.45,9.3,5,0,1
367,10.4,0.575,0.61,0.076,24.0,1.0,0.69,9.0,5,0,0
1017,8.0,0.18,0.37,0.049,109.0,0.99007,0.44,12.7,6,1,0
132,5.6,0.5,0.09,0.049,99.0,0.9937,0.63,13.0,5,1,0
222,6.8,0.61,0.04,0.057,10.0,0.99525,0.6,9.5,5,0,1
369,9.4,0.27,0.53,0.074,18.0,0.9962,1.13,12.0,7,1,0
269,11.5,0.18,0.51,0.104,23.0,0.9996,0.97,10.1,6,0,0
432,11.9,0.37,0.69,0.078,24.0,0.9958,0.65,12.8,6,1,0
554,15.5,0.645,0.49,0.095,23.0,1.00315,0.74,11.1,5,0,1
140,8.4,0.745,0.11,0.09,63.0,0.9965,0.82,9.6,5,0,1
483,10.6,0.36,0.6,0.152,18.0,0.9986,1.06,9.4,5,0,0
183,6.8,0.61,0.2,0.077,65.0,0.9971,0.58,9.3,5,0,1
921,8.4,0.36,0.32,0.081,79.0,0.9964,0.72,11.0,6,0,0
1448,6.9,0.58,0.01,0.08,54.0,0.99683,0.73,9.7,5,0,0
1183,6.8,0.66,0.07,0.07,61.0,0.99572,0.6,9.3,5,0,1
346,6.6,0.815,0.02,0.072,34.0,0.9955,0.89,12.3,7,1,1
981,9.5,0.86,0.26,0.079,28.0,0.99712,0.62,10.0,5,0,1
480,10.6,0.28,0.39,0.069,23.0,1.0026,0.66,9.2,5,0,0
185,8.9,0.31,0.57,0.111,85.0,0.9971,0.53,9.7,5,0,0
542,9.3,0.715,0.24,0.07,20.0,0.9966,0.59,9.9,5,0,1
667,11.3,0.34,0.45,0.082,15.0,0.9988,0.66,9.2,6,0,0
1476,9.9,0.5,0.5,0.205,82.0,1.00242,0.75,8.8,5,0,0
696,7.0,0.65,0.02,0.066,25.0,0.9972,0.67,9.5,6,0,1
500,7.8,0.52,0.25,0.081,38.0,0.9984,0.65,9.0,6,0,0
602,7.7,0.835,0.0,0.081,14.0,0.9975,0.52,9.3,5,0,1
961,7.1,0.56,0.14,0.078,18.0,0.99592,0.62,9.3,5,0,0
566,8.7,0.7,0.24,0.226,15.0,0.9991,0.6,9.0,6,0,1
585,7.6,0.51,0.24,0.091,38.0,0.998,0.66,9.6,6,0,0
1156,8.5,0.18,0.51,0.071,88.0,0.99524,0.76,11.8,7,1,0
1179,8.2,0.35,0.33,0.076,47.0,0.99599,0.81,11.0,6,0,0
196,7.3,0.58,0.3,0.074,55.0,0.9968,0.59,10.2,5,0,0
1108,8.1,0.78,0.1,0.09,13.0,0.99855,0.49,9.5,5,0,1
992,6.5,0.4,0.1,0.076,47.0,0.99554,0.48,9.4,6,0,0
715,7.2,0.49,0.18,0.069,34.0,0.9967,0.48,9.2,6,0,0
551,9.4,0.43,0.24,0.092,45.0,0.998,0.73,10.0,6,0,0
168,6.8,0.63,0.07,0.089,44.0,0.9953,0.55,10.4,6,0,1
1031,7.3,0.55,0.01,0.093,15.0,0.99514,0.58,11.0,7,0,0
439,7.0,0.62,0.18,0.062,50.0,0.9951,0.6,9.3,5,0,1
1498,6.6,0.895,0.04,0.068,13.0,0.99582,0.58,10.8,6,0,1
895,7.1,0.59,0.01,0.08,43.0,0.9955,0.58,10.7,6,0,0
535,9.1,0.22,0.24,0.078,28.0,0.999,0.87,10.3,6,0,0
1196,7.9,0.58,0.23,0.076,94.0,0.99686,0.58,9.5,6,0,0
879,7.2,0.6,0.04,0.076,88.0,0.99745,0.55,9.5,5,0,1
1131,5.9,0.19,0.21,0.045,135.0,0.99341,0.44,9.5,5,0,0
299,6.9,0.67,0.06,0.08,33.0,0.99845,0.71,9.6,5,0,1
1517,6.5,0.53,0.06,0.063,44.0,0.99489,0.83,10.3,6,0,0
873,9.1,0.21,0.37,0.067,10.0,0.99552,0.58,11.1,7,0,0
899,8.3,1.02,0.02,0.084,11.0,0.99892,0.49,11.0,3,0,1
69,8.0,0.705,0.05,0.074,19.0,0.9962,0.95,10.5,6,0,1
207,7.8,0.57,0.31,0.069,120.0,0.99625,0.53,9.3,5,0,0
459,11.6,0.58,0.66,0.074,47.0,1.0008,0.57,9.0,3,0,0
425,6.6,0.84,0.03,0.059,48.0,0.9952,0.56,12.3,7,1,1
818,7.1,0.715,0.0,0.071,47.0,0.99632,0.45,9.4,5,0,1
1272,5.9,0.46,0.0,0.077,44.0,0.99385,0.53,11.2,5,0,0
366,12.8,0.615,0.66,0.083,42.0,1.0022,0.73,10.0,7,0,1
1165,8.5,0.44,0.5,0.369,38.0,0.99634,1.1,9.4,5,0,0
1056,8.9,0.48,0.53,0.101,10.0,0.99586,0.59,12.1,7,1,0
939,6.2,0.46,0.17,0.073,11.0,0.99425,0.54,11.4,5,0,0
724,7.5,1.115,0.1,0.086,12.0,0.9958,0.6,11.2,4,0,1
122,7.3,0.695,0.0,0.075,13.0,0.998,0.52,9.2,5,0,1
1087,7.9,0.19,0.42,0.057,30.0,0.994,0.69,11.2,6,0,0
700,10.6,1.02,0.43,0.076,88.0,0.9984,0.57,10.1,6,0,1
